Terms,Filename,Duration,GUIDS,Timestamp
100,log@2024-02-14T13_38_17.500269,39.520148331997900,e8eba7d9-3f0c-4c46-898e-5ad1cd6f85e9,2024-02-14T10:47:13.729764
200,log@2024-02-14T13_38_17.500269,45.1548624230054,ef5001cd-5554-49bc-b41a-78b4d04fdd32,2024-02-14T10:47:58.884655
300,log@2024-02-14T13_38_17.500269,59.87085070500330,afc68851-238c-438e-aaf6-3c2839607d85,2024-02-14T10:48:58.755533
400,log@2024-02-14T13_38_17.500269,56.98695479000160,ca41de0b-8320-491c-8511-c2388668e05b,2024-02-14T10:49:55.742519
500,log@2024-02-14T13_38_17.500269,36.24164621299130,a03ccbe6-c793-4de0-805e-a9279e1e713b,2024-02-14T10:50:31.984194
600,log@2024-02-14T13_38_17.500269,59.26447605200520,a27c686c-6451-4dad-8869-51bf3926c1c0,2024-02-14T10:51:31.248702
700,log@2024-02-14T13_38_17.500269,63.441656983006400,a155b710-1e86-4382-8918-9023e32e37b2,2024-02-14T10:52:34.690391
800,log@2024-02-14T13_38_17.500269,46.29788022900180,e32023ee-989d-4da4-b894-37a9fdd567f5,2024-02-14T10:53:20.988301
900,log@2024-02-14T13_38_17.500269,54.59299652700430,e2a981d4-b426-4d29-8856-d3d1b221ba71,2024-02-14T10:54:15.581328
1000,log@2024-02-14T13_38_17.500269,55.02291179500750,6d558322-5133-48ec-ae48-853d0ef2e432,2024-02-14T10:55:10.604272
1100,log@2024-02-14T13_38_17.500269,63.43600719499230,8fa7cf12-1c68-475d-af11-6f11ee65d795,2024-02-14T10:56:14.040309
1200,log@2024-02-14T13_38_17.500269,55.196742353000400,745bb123-ac2f-4634-9ef2-6a6a13aba71e,2024-02-14T10:57:09.237078
1300,log@2024-02-14T13_38_17.500269,47.546471741006800,512d5735-a7e6-4bc1-baba-b57ff0d96ce8,2024-02-14T10:57:56.783577
1400,log@2024-02-14T13_38_17.500269,39.20176033099420,a7da0020-b78a-493a-8fc8-601d30b0dd6d,2024-02-14T10:58:35.985367
1500,log@2024-02-14T13_38_17.500269,61.44468769899690,647686c8-ac9d-4fd2-8102-e3bbe6bb7c51,2024-02-14T10:59:37.430085
1600,log@2024-02-14T13_38_17.500269,50.33054027799520,a6dd363e-fc4d-4d21-afea-70e95b5c57ec,2024-02-14T11:00:27.760654
1700,log@2024-02-14T13_38_17.500269,53.036536266998200,7db2773b-1d89-4ca8-9ee9-dee2ff6b9051,2024-02-14T11:01:20.797222
1800,log@2024-02-14T13_38_17.500269,41.53459406099860,176ea696-97fe-424b-b1e4-e2a8a44b55e7,2024-02-14T11:02:02.331845
1900,log@2024-02-14T13_38_17.500269,50.70238777300980,8bc867cc-8c98-4763-968e-9cfed0b156da,2024-02-14T11:02:53.034259
2000,log@2024-02-14T13_38_17.500269,45.92049961500740,688e4fcf-fe59-4c3a-92ca-9b8badca67ab,2024-02-14T11:03:38.954785
2100,log@2024-02-14T13_38_17.500269,52.06024559499930,c6ead7a4-d4a5-4f9f-8a22-98bb2713d084,2024-02-14T11:04:31.015060
2200,log@2024-02-14T13_38_17.500269,36.983709284992100,016029a7-fdf2-4872-b2ab-425cb43a8216,2024-02-14T11:05:07.998796
2300,log@2024-02-14T13_38_17.500269,56.2454931060056,5ddf9169-d8f4-435a-8b1f-2ea14a110b6f,2024-02-14T11:06:04.244320
2400,log@2024-02-14T13_38_17.500269,37.02402312599590,e392cf97-4b67-4777-9daf-e60df031bbef,2024-02-14T11:06:41.268374
2500,log@2024-02-14T13_38_17.500269,65.48789996499550,b7b52023-f71b-4a62-9bea-7b75181d82b3,2024-02-14T11:07:46.756301
2600,log@2024-02-14T13_38_17.500269,42.219229794005500,34ea90ad-8d67-4422-9f66-bc80c0159558,2024-02-14T11:08:28.975568
2700,log@2024-02-14T13_38_17.500269,55.79230105500030,0e9677c9-b6e9-493f-9ecc-2307cbe4cd01,2024-02-14T11:09:24.767903
2800,log@2024-02-14T13_38_17.500269,58.41332378098740,8bd408d8-b6d2-48df-bbc0-a401c077d824,2024-02-14T11:10:23.181252
